Date,Amount,Reference,Description,Particulars
01/12/18,-8.75,"","CARD/ACCOUNT FEE (106)  "," "
01/12/18,-8.75,"","CARD/ACCOUNT FEE (114)  "," "
07/12/18,-25.00,"","PROACTIVE PORIRUA NZ (11","4)"
08/12/18,-20.00,"","HEALTH NEW LYNN AUCKLAND"," NZ (114)"
08/12/18,-3.50,"","AUCKLAND TRANSPORT HENDE","RSON NZ (114)"
08/12/18,-6.60,"","TOURNAMENT COOK ST CBD A","UCKLAND NZ (114)"
09/12/18,-74.04,"","Z TE ATAU AUCKLAND NZ (1","14)"
10/12/18,-190.90,"","THE SLEEP STORE TITIRANG","I NZ (106)"
10/12/18,-88.00,"","FLOWERS AFTER HOURS PARN","ELL NZ (106)"
10/12/18,-13.50,"","STARK'S AUCKLAND NZ (114",")"
10/12/18,-50.00,"","S A F E CHRISTCHURCH NZ ","(106)"
11/12/18,-89.95,"","THE SLEEP STORE LTD TITI","RANGI NZ (106)"
11/12/18,-16.99,"","VISTAPR*VISTAPRINT.COM 8","66-8936743 NL (106)"
13/12/18,-35.97,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
13/12/18,-94.98,"","UNDERGROUND SKATE AKL NZ"," (106)"
13/12/18,-5.00,"","DOMO SUSHI AUCKLAND NZ (","114)"
13/12/18,-10.75,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
13/12/18,-20.00,"","SKINNY AUCKLAND NZ (106)"," "
14/12/18,-29.99,"","LIFE PHARMACY NORTHWES A","UCKLAND NZ (114)"
14/12/18,-48.85,"","THE BABY FACTORY 31 BOTA","NY NZ (106)"
14/12/18,-20.00,"","CORNER BURGER MT EDEN NE","W MARKET NZ (114)"
14/12/18,-2.99,"","TYPO 9717 9717 - NORTHW ","WESTGATE NZ (106)"
14/12/18,-20.69,"","STOP N SAVE BOTANY SOUTH"," NZ (114)"
14/12/18,-25.00,"","PROACTIVE PORIRUA NZ (11","4)"
14/12/18,-87.55,"","OAKLANDS LODGE MT EDEN N","Z (106)"
15/12/18,-69.80,"","CITTA DESIGN NORTHWEST A","UCKLAND NZ (106)"
15/12/18,-92.00,"","HUE MT EDEN MT EDEN NZ (","106)"
15/12/18,-87.55,"","OAKLANDS LODGE & BAMBER ","HAUCKLAND NZ (114)"
15/12/18,-92.65,"","FREEDOM FURNITURE MASSDE","Y NZ (106)"
16/12/18,-16.99,"","WEST LIQUOR TE ATATU TE ","ATATU NORT NZ (106)"
16/12/18,-69.90,"","NATURE BABY LIMITED NEWM","ARKET NZ (106)"
16/12/18,-80.00,"","Z TE ATATU AUCKLAND NZ (","106)"
16/12/18,-27.00,"","THE WAREHOUSE ONLINE NOR","THCOTE NZ (106)"
16/12/18,-31.58,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
16/12/18,-16.00,"","SKINNY AUCKLAND NZ (106)"," "
17/12/18,-8.69,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
18/12/18,-28.90,"","BURGER FUEL HENDERSON AU","CKLAND NZ (106)"
18/12/18,-45.00,"","HEALTH NEW LYNN AUCKLAND"," NZ (114)"
18/12/18,-7.50,"","DOMO SUSHI AUCKLAND NZ (","114)"
18/12/18,-179.00,"","SUPERETTE 6421528022 NZ ","(106)"
18/12/18,-160.27,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ (106)"
18/12/18,-35.00,"","HEALTH NEW LYNN AUCKLAND"," NZ (114)"
19/12/18,19.98,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ"
