Date,Amount,Reference,Description,Particulars
06/03/19,-17.99,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
06/03/19,-7.00,"","G4U DOLLAR STORE AUCKLAN","D NZ (106)"
06/03/19,-215.95,"","THE SLEEP STORE TITIRANG","I NZ (106)"
06/03/19,-17.99,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
06/03/19,-20.00,"","SKINNY AUCKLAND NZ (106)"," "
07/03/19,-20.00,"","Z TE ATATU AUCKLAND NZ (","106)"
07/03/19,-28.53,"","COUNTDOWN ST LUKES AUCKL","AND NZ (106)"
07/03/19,-13.99,"","FRESH BEER BREW CO AUCKL","AND NZ (114)"
08/03/19,-79.00,"","RODNEY WAYNE NORTHWEST A","UCKLAND NZ (106)"
08/03/19,-7.99,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (114)"
08/03/19,-94.00,"","CACI ST LUKES AUCKLAND N","Z (106)"
08/03/19,-22.17,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
08/03/19,-6.30,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
09/03/19,-11.89,"","TE ATATU SUPERETTE TE AT","ATU NZ (106)"
09/03/19,-1.69,"","APPLE NZ GCS SYDNEY AU (","106)"
10/03/19,-4.00,"","G4U DOLLAR STORE AUCKLAN","D NZ (106)"
10/03/19,-92.50,"","SAAN AUCKLAND NZ (106)  "," "
10/03/19,-62.90,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
10/03/19,-16.00,"","SKINNY AUCKLAND NZ (106)"," "
11/03/19,-12.00,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
12/03/19,-22.90,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
12/03/19,-25.00,"","PROACTIVE REHAB AUCKLAND"," NZ (114)"
12/03/19,-137.13,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ (106)"
12/03/19,-2.80,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
12/03/19,-27.59,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
12/03/19,-2.99,"","GOOGLE *GOOGLE STORAGE G",".CO/HELPPAY# GB (114)"
13/03/19,-7.20,"","WENDYS OLD FASHIONED HAM"," GREENLANE NZ (114)"
13/03/19,-7.99,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
14/03/19,-7.50,"","DOMO SUSHI AUCKLAND NZ (","114)"
14/03/19,-11.49,"","NETFLIX.COM LOS GATOS CA"," NZ (106)"
14/03/19,-67.91,"","EAT ME WELLINGTON NZ (11","4)"
18/03/19,7000.00,"","PAYMENT RECEIVED THANKYO","U NZ"
19/03/19,-159.25,"","MERIDIAN ENERGY LTD CHRI","STCHURCH NZ (106)"
21/03/19,-45.12,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
22/03/19,-35.75,"","MR ILLINGSWORTH AUCKLAND"," NZ (106)"
23/03/19,-29.97,"","TE ATATU HAMMER HARDWAR ","AUCKLAND NZ (114)"
24/03/19,-16.50,"","MR ILLINGSWORTH AUCKLAND"," NZ (106)"
24/03/19,-16.50,"","MR ILLINGSWORTH AUCKLAND"," NZ (106)"
24/03/19,-80.00,"","Z TE ATAU AUCKLAND NZ (1","06)"
24/03/19,-210.00,"","SASS & BIDE AUCKLAND NZ ","(106)"
24/03/19,-38.00,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
25/03/19,-5.99,"","SURF2SURF 6421529599 NZ ","(114)"
25/03/19,-40.95,"","NATURE BABY LIMITED GREY"," LYNN NZ (106)"
25/03/19,-14.79,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
26/03/19,-29.15,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
26/03/19,-26.30,"","BURGER FUEL HENDERSON AU","CKLAND NZ (106)"
26/03/19,-7.50,"","DOMO SUSHI AUCKLAND NZ (","114)"
26/03/19,-34.95,"","SLINGSHOT AUCKLAND NZ (1","06)"
26/03/19,-52.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
26/03/19,-179.90,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ (106)"
26/03/19,-20.00,"","SKINNY AUCKLAND NZ (106)"," "
27/03/19,-9.53,"","MITRE 10 MEGA WESTGATE A","UCKLAND NZ (106)"
27/03/19,-321.70,"","IAN HEEM MOTORS AUCKLAND"," NZ (106)"
27/03/19,-62.00,"","KMART - ST LUKES AUCKLAN","D NZ (106)"
27/03/19,-14.99,"","FRESH BEER BREW CO AUCKL","AND NZ (106)"
27/03/19,-4.20,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
27/03/19,-22.07,"","UBER TRIP HELP.UBER.COM ","VORDEN NZ (106)"
28/03/19,-24.80,"","LIBRARY CAFE ONEHUNGA NZ"," (106)"
29/03/19,-7.50,"","DOMO SUSHI AUCKLAND NZ (","114)"
29/03/19,-35.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
29/03/19,-23.78,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
30/03/19,-10.99,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
30/03/19,-28.80,"","BURGER FUEL HENDERSON AU","CKLAND NZ (106)"
30/03/19,-10.00,"","AT HOP AUCKLAND ONEHUNGA"," NZ (114)"
30/03/19,-27.70,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
