Date,Amount,Reference,Description,Particulars
01/05/19,-65.48,"","INTEREST CHARGED        "," "
01/05/19,-12.00,"","LATE FEE                "," "
02/05/19,-44.20,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
02/05/19,-77.80,"","ZARANZ AUKLAND NZ (106) "," "
02/05/19,-24.17,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
02/05/19,-15.99,"","FRESH BEER BREW CO AUCKL","AND NZ (106)"
03/05/19,-27.50,"","MCDONALDS TE ATATU RD AU","CKLAND NZ (106)"
04/05/19,-119.98,"","TE ATATU HAMMER HARDWAR ","AUCKLAND NZ (106)"
04/05/19,-9.00,"","OZONE AUCKLAND GREY LYNN"," NZ (106)"
04/05/19,-160.18,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ (106)"
05/05/19,-28.90,"","BURGER FUEL HENDERSON AU","CKLAND NZ (106)"
05/05/19,-3.99,"","FARRO FRESH MT WELLINGT ","MT WELLINGTON NZ (106)"
05/05/19,-38.88,"","EVENTFINDA LTD 093652342"," NZ (106)"
05/05/19,-11.96,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
06/05/19,-5.00,"","WILSON PARKING AUCKLAND ","NZ (106)"
06/05/19,-5.00,"","ELEVATION CAFE & RES AUC","KLAND NZ (114)"
06/05/19,-24.51,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
06/05/19,-20.00,"","SKINNY AUCKLAND NZ (106)"," "
07/05/19,7000.00,"","PAYMENT RECEIVED THANKYO","U NZ"
07/05/19,-17.90,"","SUE'S PHARMACY WAITAKERE"," NZ NZ (106)"
07/05/19,-23.90,"","THE BABY FACTORY 31 BOTA","NY NZ (106)"
07/05/19,-27.85,"","MITRE 10 MEGA WESTGATE A","UCKLAND NZ (106)"
07/05/19,-16.04,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
08/05/19,-45.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
09/05/19,-10.20,"","MCDONALDS TE ATATU RD AU","CKLAND NZ (106)"
10/05/19,-9.10,"","MONTANA CATERING AUKL AU","CKLAND NZ (114)"
10/05/19,-76.77,"","Z TE ATAU AUCKLAND NZ (1","14)"
10/05/19,-1.69,"","APPLE NZ GCS SYDNEY AU (","106)"
10/05/19,-14.99,"","APPLE NZ GCS SYDNEY AU (","106)"
11/05/19,-100.00,"","SAVE ANIMALS FROM EXPLOI","TWELLINGTON NZ (106)"
11/05/19,-12.49,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
11/05/19,-27.30,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
12/05/19,-9.99,"","TE ATATU HAMMER HARDWAR ","AUCKLAND NZ (114)"
12/05/19,-203.88,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ (106)"
12/05/19,-12.16,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
12/05/19,-42.47,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
12/05/19,-20.30,"","MCDONALDS TE ATATU RD AU","CKLAND NZ (114)"
12/05/19,-2.99,"","GOOGLE *GOOGLE STORAGE G",".CO/HELPPAY# GB (114)"
13/05/19,-8.60,"","WILSON PARKING AUCKLAND ","NZ (106)"
13/05/19,-9.03,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
14/05/19,-11.49,"","NETFLIX.COM LOS GATOS CA"," NZ (106)"
14/05/19,-27.50,"","PITA PIT TE ATATU AUCKLA","ND NZ (106)"
14/05/19,-19.14,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
14/05/19,-24.45,"","ANIMALS AUSTRALIA NORTH ","MELBOUR AU (106) (23.00 AUSTRALIAN DOLLARS)"
14/05/19,-0.61,"","OFFSHORE SERVICE MARGINS"," AU (106)"
15/05/19,-23.31,"","AC/RFA WILDZONE WESTERN ","SPRIN NZ (106)"
15/05/19,-4.05,"","MONTANA CATERING AUKL AU","CKLAND NZ (106)"
15/05/19,-29.00,"","MECCA BRANDS NZ 08008824","43 NZ (106)"
16/05/19,-15.00,"","STITCHES ALTERATIONS TE ","ATATU PENI NZ (106)"
16/05/19,-8.10,"","DOMO SUSHI AUCKLAND NZ (","114)"
16/05/19,-234.00,"","CACI ST LUKES AUCKLAND N","Z (106)"
17/05/19,-6.20,"","BP CONNECT GREENLANE EAS","TAUCKLAND NZ (106)"
17/05/19,-21.80,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
17/05/19,-15.12,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
17/05/19,-139.00,"","FORME SPA PARNELL PARNEL","L NZ (114)"
17/05/19,-34.64,"","PAYPAL *KODAKEXPRES 4029","357733 SG (106)"
17/05/19,-16.99,"","GOOGLE *ARROWHEAD ALM G.","CO/HELPPAY# GB (114)"
18/05/19,-28.90,"","BURGER FUEL HENDERSON AU","CKLAND NZ (106)"
18/05/19,-200.86,"","MERIDIAN ENERGY LTD CHRI","STCHURCH NZ (106)"
19/05/19,-85.47,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ (106)"
20/05/19,-9.50,"","THE DELICIOUS FOOD STORE"," AUCKLAND NZ (114)"
21/05/19,-8.70,"","WENDYS QUEEN ST AUCKLAND"," NZ (106)"
21/05/19,-42.90,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
22/05/19,-23.75,"","CHINOISERIE MT ALBERT NZ"," (106)"
22/05/19,-42.39,"","LIFE PHARMACY ST LUKES S","T LUKES NZ (106)"
22/05/19,-16.80,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
23/05/19,-7.70,"","DOMO SUSHI AUCKLAND NZ (","114)"
23/05/19,-12.50,"","FARRO FRESH MT WELLINGT ","MT WELLINGTON NZ (106)"
23/05/19,-5.00,"","FARMERS ST LUKES AUCKLAN","D NZ (106)"
23/05/19,-3.00,"","COUNTDOWN ST LUKES AUCKL","AND NZ (106)"
23/05/19,-6.60,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
24/05/19,-80.00,"","Z TE ATAU AUCKLAND NZ (1","06)"
25/05/19,-5.99,"","SURF2SURF 6421529599 NZ ","(114)"
25/05/19,-14.95,"","TE ATATU HAMMER HARDWAR ","AUCKLAND NZ (114)"
25/05/19,-134.34,"","COUNTDOWN ONLINE SHOPPIN","GAUCKLAND NZ (106)"
25/05/19,-7.99,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
25/05/19,-38.00,"","FUNCTIONAL PHYSIO MT EDE","N NZ (114)"
25/05/19,-39.28,"","COUNTDOWN HENDERSON LINC","OLN ROAD NZ (106)"
26/05/19,-34.95,"","SLINGSHOT AUCKLAND NZ (1","06)"
26/05/19,-12.99,"","WEST LIQUOR TE ATATU TE ","ATATU NORT NZ (106)"
26/05/19,-4.50,"","TE ATATU POST SHOP AUCKL","AND NZ (114)"
