Date,Amount,Reference,Description,Particulars
26/04/20,4318.58,"","PAYMENT - THANK YOU     "," "
27/04/20,-46.01,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
28/04/20,-71.10,"","SLINGSHOT AUCKLAND NZ (1","06)"
28/04/20,-114.83,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
28/04/20,-20.00,"","SKINNY AUCKLAND NZ (106)"," "
29/04/20,-231.00,"","LONELY HEARTS AUCKLAND N","Z (106)"
29/04/20,-94.99,"","HELLOFRESH*232913982 AUC","KLAND NZ (106)"
30/04/20,-113.40,"","ZARANZ AUKLAND NZ (106) "," "
01/05/20,-5.00,"","WENDYS OLD FASHIONED HAM","BAUCKLAND NZ (114)"
02/05/20,-100.00,"","SAVE ANIMALS FROM EXPLOI","TWELLINGTON NZ (106)"
03/05/20,-53.49,"","EVERYDAY HERO PTY LTD JO","HNSONVILLE NZ (106)"
03/05/20,-397.86,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
03/05/20,-16.00,"","SKINNY AUCKLAND NZ (106)"," "
04/05/20,-1.52,"","AMAZON WEB SERVICES AWS.","AMAZON.CO US (114) (0.92 UNITED STATES DOLLARS)"
04/05/20,-0.04,"","OFFSHORE SERVICE MARGINS"," US (114)"
05/05/20,-99.40,"","WATERCARE ONLINE REMUERA"," NZ (106)"
05/05/20,-0.55,"","WATERCARE SERVICES LTD R","EMUERA NZ (106)"
06/05/20,-30.95,"","BABY ON THE MOVE NELSON ","NZ (106)"
06/05/20,-55.21,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
07/05/20,-72.43,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
09/05/20,-32.90,"","BURGER FUEL HENDERSON AU","CKLAND NZ (106)"
09/05/20,-72.29,"","Z TE ATAU AUCKLAND NZ (1","06)"
09/05/20,-13.98,"","Z TE ATATU AUCKLAND NZ (","106)"
09/05/20,-1.69,"","APPLE.COM/BILL SYDNEY AU"," (106)"
10/05/20,-58.00,"","TRADEME D623 PING WELLIN","GTON NZ (106)"
10/05/20,-202.00,"","SP * MAGGIE MARILYN AUCK","LAND NZ (106)"
10/05/20,-205.84,"","COUNTDOWN TE ATATU AUCKL","AND NZ (106)"
10/05/20,-29.23,"","COUNTDOWN TE ATATU AUCKL","AND NZ (114)"
11/05/20,10.00,"","KMART ONLINE AUCKLAND NZ"," "
11/05/20,-72.90,"","MIGHTY APE LIMITED ROSED","ALE NZ (106)"
11/05/20,-86.99,"","FARMERS ONLINE AUCKLAND ","NZ (106)"
11/05/20,-31.00,"","KMART ONLINE AUCKLAND NZ"," (114)"
12/05/20,-250.91,"","SP * SIMPLIFY MY HOME AU","CKLAND NZ (106)"
